date,revenue,fees,expenses
2021-07-11,76488.3844052386,717164.5132023115,640676.1287970729
2021-07-12,73028.59503410784,670677.382680835,597648.7876467272
2021-07-13,77236.00569232885,739763.6270388216,662527.6213464928
2021-07-14,81489.63375872688,785390.2810652246,703900.6473064977
2021-07-15,69577.0548966582,725248.2643979818,655671.2095013236
2021-07-16,70177.64313353121,662001.7769898695,591824.1338563383
2021-07-17,70375.705458096,903293.2163620065,832917.5109039105
2021-07-18,80206.28746116742,764286.250617754,684079.9631565865
2021-07-19,81183.639666006,813308.5605346502,732124.9208686443
2021-07-20,79488.18968598807,777173.9721236957,697685.7824377075
2021-07-21,77915.09579424362,780209.6759475099,702294.5801532663
2021-07-22,75468.53575077871,767048.953811193,691580.4180604143
2021-07-23,77565.77591989045,747047.9102050391,669482.1342851486
2021-07-24,78832.33884771944,755343.8498510718,676511.5110033524
2021-07-25,84511.17563566394,809498.558739323,724987.3831036591
2021-07-26,85868.7911834802,823245.6327879746,737376.8416044944
2021-07-27,85532.48624481587,830181.2504297709,744648.764184955
2021-07-28,82871.20930466503,794684.7365554989,711813.5272508339
2021-07-29,83310.20894593908,803227.2831572336,719917.0742112945
2021-07-30,86884.8294023322,832535.819170556,745650.9897682238
2021-07-31,87087.90079703751,833222.4872853856,746134.5864883481
2021-08-01,94404.41476755776,909805.5152672313,815401.1004996735
2021-08-02,100995.27506007011,979574.7535789661,878579.478518896
2021-08-03,99401.94207415398,959944.3429240731,860542.4008499191
2021-08-04,96787.8283146733,1091918.198346278,995130.3700316047
2021-08-05,90083.29105088965,868588.5028413907,778505.211790501
2021-08-06,87919.58231373574,875509.8308489978,787590.2485352621
2021-08-07,88582.1503953253,867155.829393366,778573.6789980407
2021-08-08,93150.95074993462,907174.8069301521,814023.8561802175
2021-08-09,102697.37597617012,977540.7611477852,874843.385171615
2021-08-10,103996.93778613233,1015713.4385342819,911716.5007481496
2021-08-11,111400.53308029569,1085234.3369331555,973833.8038528599
2021-08-12,130378.44556717036,1283182.7591039292,1152804.3135367588
2021-08-13,105198.32044463625,1022054.6669140583,916856.346469422
2021-08-14,139401.40683345005,1388347.260801571,1248945.8539681209
2021-08-15,142836.37068687362,1381770.9206329342,1238934.5499460606
2021-08-16,119874.36729511154,1171508.5612654923,1051634.1939703808
2021-08-17,119841.3721596263,1167557.0652368132,1047715.6930771868
2021-08-18,120882.78288044027,1185768.5167003253,1064885.733819885
2021-08-19,110138.62375647313,1080928.7051334074,970790.0813769342
